"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 02 19:36:04 GMT 2024","Tue Jul 02 19:36:07 GMT 2024","2918","chromium","todo.spec.ts","ToDo list","","","Delete a ToDo list item",""
"passed","Tue Jul 02 19:36:07 GMT 2024","Tue Jul 02 19:36:09 GMT 2024","1612","chromium","user.spec.ts","User","","","Register new user",""
"passed","Tue Jul 02 19:36:01 GMT 2024","Tue Jul 02 19:36:04 GMT 2024","2939","chromium","todo.spec.ts","ToDo list","","","Add a new item to ToDo list",""
"passed","Tue Jul 02 19:35:58 GMT 2024","Tue Jul 02 19:36:00 GMT 2024","1920","chromium","login.spec.ts","Login to ToDoQaCart","","","Login",""
